series,join,stop,minspr,qfrac,size,n_mkt,fills,total_ct,yes_ct,no_ct,paired,gross,fees,net,net_per_ct_c,gross_per_ct_c,net_per_hr,net_per_day,ct_per_hr,dd
KXETH15M,False,30.0,2,1.0,10.0,14,4212,22016.0,10270,11746,9546,444.84,93.47,351.37,1.596,2.021,102.74,2465.75,6437.0,351.85
KXETH15M,False,0.0,2,1.0,10.0,14,4225,22082.0,10320,11762,9596,443.36,93.6,349.76,1.584,2.008,102.269,2454.46,6457.0,351.85
KXETH15M,False,60.0,2,1.0,10.0,14,3817,20022.0,9280,10742,8556,404.1,84.45,319.65,1.596,2.018,93.465,2243.16,5854.0,351.5
KXETH15M,True,60.0,2,1.0,10.0,14,701,3041.0,1169,1872,941,225.45,13.58,211.87,6.967,7.414,61.951,1486.81,889.0,60.26
KXETH15M,True,30.0,2,1.0,10.0,14,920,4133.0,1791,2343,1563,172.53,18.48,154.05,3.727,4.174,45.044,1081.07,1209.0,60.26
KXETH15M,True,0.0,2,1.0,10.0,14,922,4143.0,1801,2343,1573,172.23,18.5,153.73,3.71,4.157,44.951,1078.82,1212.0,60.26
KXETHD,False,60.0,1,1.0,10.0,5,1733,9028.0,3522,5506,2800,153.18,22.0,131.18,1.453,1.697,38.357,920.56,2640.0,0.0
KXETHD,False,0.0,1,1.0,10.0,5,1733,9028.0,3522,5506,2800,153.18,22.0,131.18,1.453,1.697,38.357,920.56,2640.0,0.0
KXETHD,False,30.0,1,1.0,10.0,5,1733,9028.0,3522,5506,2800,153.18,22.0,131.18,1.453,1.697,38.357,920.56,2640.0,0.0
KXETHD,False,0.0,2,1.0,10.0,5,503,2714.0,1108,1606,918,74.5,8.34,66.16,2.438,2.745,19.345,464.28,794.0,0.35
KXETHD,False,60.0,2,1.0,10.0,5,503,2714.0,1108,1606,918,74.5,8.34,66.16,2.438,2.745,19.345,464.28,794.0,0.35
KXETHD,False,30.0,2,1.0,10.0,5,503,2714.0,1108,1606,918,74.5,8.34,66.16,2.438,2.745,19.345,464.28,794.0,0.35
